vertical,class_code,class_of_business,lines_of_business,gl_eligible,excess_eligible,property_eligible,cyber_eligible,package_eligible,submissions_12m,auto_quoted_12m,bound_12m,auto_quote_rate_pct,bind_rate_pct,appetite_note
Contractors,91300,Remodeling Contractor,"Excess Standalone, GL",YES,YES,NO,NO,NO,5405,3776,1051,69.9,22.9,"Strong appetite – high volume, strong conversion"
Contractors,98678,Roofing–Residential–Three Stories and Under,"Excess Standalone, GL",YES,YES,NO,NO,NO,3930,2923,739,74.4,21.6,"Strong appetite – high volume, strong conversion"
Contractors,91580,Contractors–Executive Supervisors or Executive Superintendents,"Excess Standalone, GL",YES,YES,NO,NO,NO,3572,1504,544,42.1,23.7,"Strong appetite – high volume, strong conversion"
Contractors,99777,"Tree Pruning, Dusting, Spraying, Repairing, Trimming or Fumigating","Excess Standalone, GL",YES,YES,NO,NO,NO,1703,1358,279,79.7,17.7,Strong appetite – high volume
Contractors,91340,Carpentry–Construction of Residential Property Not Exceeding Three Stories in Height,"Excess Standalone, GL",YES,YES,NO,NO,NO,1820,1098,395,60.3,28.3,"Strong appetite – high volume, strong conversion"
Contractors,95625,Handyperson,"Excess Standalone, GL",YES,YES,NO,NO,NO,1396,948,309,67.9,26.0,"Strong appetite – high volume, strong conversion"
Contractors,98522,Pressure Washing,"Excess Standalone, GL",YES,YES,NO,NO,NO,1482,932,397,62.9,29.7,"Strong appetite – high volume, strong conversion"
Contractors,96816,Janitorial Services,"Excess Standalone, GL",YES,YES,NO,NO,NO,1142,865,139,75.7,14.2,Strong appetite – high volume
Contractors,98305,Painting–Interior–Buildings or Structures,"Excess Standalone, GL",YES,YES,NO,NO,NO,1095,846,222,77.3,22.1,"Strong appetite – high volume, strong conversion"
Contractors,91341,Carpentry–Interior,"Excess Standalone, GL",YES,YES,NO,NO,NO,1136,800,321,70.4,32.4,"Strong appetite – high volume, strong conversion"
Contractors,98483,Plumbing–Residential or Domestic,"Excess Standalone, GL",YES,YES,NO,NO,NO,1011,766,62,75.8,7.2,Strong appetite – high volume
Contractors,92478,Electrical Work–within Buildings,"Excess Standalone, GL",YES,YES,NO,NO,NO,912,690,182,75.7,23.3,"Strong appetite – high volume, strong conversion"
Contractors,91560,Concrete Construction,"Excess Standalone, GL",YES,YES,NO,NO,NO,991,660,181,66.6,23.3,"Strong appetite – high volume, strong conversion"
Contractors,99969,Welding or Cutting,"Excess Standalone, GL",YES,YES,NO,NO,NO,850,612,67,72.0,10.4,Strong appetite – high volume
